course_id;codigo;turma;descricao;horario;professor
"2";"DIR5991";"02302";"Legislação Tributária";"4.0820-2 / CSE-CSE202
6.1010-2 / CSE-CSE202";"Valcir Gassen"
"2";"DIR5991";"04302";"Legislação Tributária";"4.0820-2 / CSE-CSE205
6.0820-2 / CSE-CSE205";"Humberto Pereira Vecchio"
"2";"DIR6010";"01302";"Direito Empresarial";"3.1010-2 / CSE-CSE201
6.0820-2 / CSE-CSE201";"Melissa Ely Melo"
"2";"EGC5029";"09302";"Gestão da Sustentabilidade";"4.1010-2 / CSE-CSE110";"Hans Michael Van Bellen"
"2";"EGC5263";"09302";"Finanças Pessoais";"4.0820-4 / EF1-EFI404";"Jurandir Sell Macedo Junior
Alexandre Augusto Biz"
"2";"FIL5109";"01302";"Ética e Filosofia Política";"4.0820-2 / CSE-CSE201
6.1010-2 / CSE-CSE201";"Maria Alice da Silva"
"2";"INE6010";"02302";"Métodos Estatísticos";"3.0820-2 / CSE-CSE110
6.0820-2 / CSE-CSE110";"Meire Mezzomo"
"2";"MTM3100";"01302";"Pré-Cálculo";"2.0820-2 / EF1-EFI403
5.1010-2 / EF1-EFI403";"Professor Não Informado"
"2";"MTM3561";"02302";"Matemática Financeira";"2.0820-2 / EF1-EFI401
5.1010-2 / EF1-EFI203";"Vinícius Viana Luiz Albani"
"2";"CAD5103";"01317";"Administração I";"3.1830-2 / CSE-CSE201
5.2020-2 / CSE-CSE201";"Paulo Otolini Garrido"
"2";"CCN5119";"04317";"Contabilidade Superior";"2.1830-2 / CSE-CSE203
4.2020-2 / CSE-CSE203";"Alessandra Rodrigues Machado de Araujo"
"2";"CCN5120";"04317";"Contabilometria";"3.2020-2 / EF1-EFI204
5.2020-2 / EF1-EFI204";"Leonardo Flach"
"2";"CCN5124";"03317";"Laboratório de Prática Contábil";"6.1830-4 / CSE-CSE116";"Monique Cristiane de Oliveira"
"2";"CCN5137";"04317";"Contabilidade de Custos";"3.1830-2 / CSE-CSE205
5.1830-2 / CSE-CSE205";"Pedro Jose Von Mecheln"
"2";"CCN5139";"05317";"Análise de Custos";"2.1830-2 / CSE-CSE206
5.2020-2 / CSE-CSE206";"Erves Ducati"
"2";"CCN5140";"06317";"Contabilidade Gerencial";"3.1830-2 / CSE-CSE207
5.1830-2 / CSE-CSE207";"Valdirene Gasparetto"
"2";"CCN5141";"06317";"Técnicas de Pesquisa em Contabilidade";"2.1830-2 / CSE-CSE116
4.1830-2 / CSE-CSE116";"Valmir Emil Hoffmann"
"2";"CCN5147";"08317";"Perícia Contábil";"2.1830-4 / CSE-CSE210";"Luiz Alberton"
"2";"CCN5171";"05317";"Contabilidade Pública I";"3.2020-2 / CSE-CSE206
6.1830-2 / CSE-CSE206";"Orion Augusto Platt Neto"
